Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
32762000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.054858914017677306,0.483912216985614,0.054858914017677306,6
32798000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.054182087933575665,0.48095392795478903,0.054182087933575665,6
32844000,0,0,4.6e-05,1217391.3043478262,56.0,0,0,0,0,0,0,0,0,0,0.05352189191957799,0.4780492132031776,0.05352189191957799,6
32886000,0,0,4.2e-05,1333333.3333333335,56.0,0,0,0,0,0,0,0,0,0,0.05287755541054599,0.47519649409342285,0.05287755541054599,6
32921000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.052248477935791016,0.4723942417860275,0.052248477935791016,6
32956000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.05163420228397145,0.46964097703488195,0.05163420228397145,6
32992000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.051034223201662995,0.4669352880552539,0.051034223201662995,6
33028000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.05044803674193634,0.46427582173148113,0.05044803674193634,6
33064000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.04987517270174893,0.4616612770516811,0.04987517270174893,6
33099999,0,0,3.6e-05,1500000.0,54.0,0,0,0,0,0,0,0,0,0,0.04931518201077922,0.4590904036903965,0.04931518201077922,6
33216000,0,0,0.000116,482758.6206896552,56.0,0,0,0,0,0,0,0,0,0,0.048768523004319934,0.456561904852268,0.048768523004319934,6
33254000,0,0,3.8e-05,1473684.2105263157,56.0,0,0,0,0,0,0,0,0,0,0.04823302174662496,0.45407481283300877,0.04823302174662496,6
33293000,0,0,3.9e-05,1435897.435897436,56.0,0,0,0,0,0,0,0,0,0,0.047709174778150475,0.4516279195729971,0.047709174778150475,6
33319000,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.047196452335644797,0.44922017005312076,0.047196452335644797,6
33345000,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.046694638881277534,0.4468505172962462,0.046694638881277534,6
33370999,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.04620338992068642,0.44451796730045745,0.04620338992068642,6
33396000,0,0,2.5e-05,2240000.0,56.0,0,0,0,0,0,0,0,0,0,0.045722365379333496,0.442221563018589,0.045722365379333496,6
33422000,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.04525126870145503,0.43996037858385645,0.04525126870145503,6
33449000,0,0,2.7e-05,2074074.0740740742,56.0,0,0,0,0,0,0,0,0,0,0.04478979597286302,0.4377335229616077,0.04478979597286302,6
33474999,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.04433763629258281,0.4355401383158849,0.04433763629258281,6
33501000,0,0,2.6e-05,2153846.153846154,56.0,0,0,0,0,0,0,0,0,0,0.0438945198059082,0.4333793936416839,0.0438945198059082,6
